date,price_sdllmtk,usage_total_b,spend_usd_day,product_raw
2026-01-08,1.4033,969.0155,1359851.75,1359.8518
2026-01-09,1.4267,957.0892,1365447.26,1365.4473
2026-01-10,1.4500,802.8703,1164161.94,1164.1619
2026-01-11,1.4825,789.6935,1170720.61,1170.7206
2026-01-12,1.5150,1014.3136,1536685.10,1536.6851
2026-01-13,1.5475,1098.3506,1699697.55,1699.6976
2026-01-14,1.5800,1168.7537,1846630.85,1846.6308
2026-01-15,1.6267,1227.0409,1995986.53,1995.9865
2026-01-16,1.6733,1111.7760,1860371.84,1860.3718
2026-01-17,1.7200,965.4163,1660516.04,1660.5160
2026-01-18,1.7367,1057.6215,1836736.00,1836.7360
2026-01-19,1.7533,1118.4707,1961051.96,1961.0520
2026-01-20,1.7700,1167.3699,2066244.72,2066.2447
2026-01-21,1.7667,1109.7513,1960560.63,1960.5606
2026-01-22,1.7633,1165.6447,2055420.15,2055.4202
2026-01-23,1.7600,1098.2278,1932880.93,1932.8809
2026-01-24,1.7500,921.7792,1613113.60,1613.1136
2026-01-25,1.7400,912.4361,1587638.81,1587.6388
2026-01-26,1.7300,1123.0374,1942854.70,1942.8547
2026-01-27,1.7200,1171.0920,2014278.24,2014.2782
2026-01-28,1.6900,1262.2447,2133193.54,2133.1935
2026-01-29,1.6600,1299.9916,2157986.06,2157.9861
2026-01-30,1.6300,1226.6649,1999463.79,1999.4638
2026-01-31,1.6000,1039.9396,1663903.36,1663.9034
2026-02-01,1.5700,1126.9641,1769333.64,1769.3336
2026-02-02,1.5400,1273.7152,1961521.41,1961.5214
2026-02-03,1.5100,1347.8769,2035294.12,2035.2941
2026-02-04,1.4800,1420.2871,2102024.91,2102.0249
2026-02-05,1.4550,1547.1747,2251139.19,2251.1392
2026-02-06,1.4300,1535.4264,2195659.75,2195.6598
2026-02-07,1.4050,1326.3264,1863488.59,1863.4886
2026-02-08,1.3800,1353.5201,1867857.74,1867.8577
2026-02-09,1.3550,1662.9702,2253324.62,2253.3246
2026-02-10,1.3300,1771.5104,2356108.83,2356.1088
2026-02-11,1.3050,1809.0755,2360843.53,2360.8435
2026-02-12,1.2800,1817.2543,2326085.50,2326.0855
2026-02-13,1.2725,2083.9440,2651818.74,2651.8187
2026-02-14,1.2650,1862.4465,2355994.82,2355.9948
2026-02-15,1.2575,2007.4292,2524342.22,2524.3422
2026-02-16,1.2500,2160.6832,2700854.00,2700.8540
2026-02-17,1.2550,2144.2567,2691042.16,2691.0422
2026-02-18,1.2600,2279.2873,2871902.00,2871.9020
2026-02-19,1.2650,2104.7315,2662485.35,2662.4853
2026-02-20,1.2700,1966.7807,2497811.49,2497.8115
2026-02-21,1.2825,1629.0879,2089305.23,2089.3052
2026-02-22,1.2950,1662.9004,2153456.02,2153.4560
2026-02-23,1.3075,1983.6586,2593633.62,2593.6336
2026-02-24,1.3200,2006.8143,2648994.88,2648.9949
2026-02-25,1.3400,2037.2354,2729895.44,2729.8954
2026-02-26,1.3600,2076.4589,2823984.10,2823.9841
2026-02-27,1.3800,2038.0162,2812462.36,2812.4624
2026-02-28,1.4000,1751.3231,2451852.34,2451.8523
2026-03-01,1.4125,1722.1647,2432557.64,2432.5576
2026-03-02,1.4250,2108.1283,3004082.83,3004.0828
2026-03-03,1.4375,2268.3866,3260805.74,3260.8057
2026-03-04,1.4500,2260.8298,3278203.21,3278.2032
2026-03-05,1.4575,2263.1593,3298554.68,3298.5547
2026-03-06,1.4650,2165.7616,3172840.74,3172.8407
2026-03-07,1.4725,1841.4120,2711479.17,2711.4792
2026-03-08,1.4800,1881.2325,2784224.10,2784.2241
2026-03-09,1.4875,2245.4627,3340125.77,3340.1258
2026-03-10,1.4950,2405.3396,3595982.70,3595.9827
2026-03-11,1.5025,2484.6812,3733233.50,3733.2335
2026-03-12,1.5100,2655.4702,4009760.00,4009.7600
2026-03-13,1.5175,2514.9190,3816389.58,3816.3896
2026-03-14,1.5250,2224.6156,3392538.79,3392.5388
2026-03-15,1.5325,2343.9867,3592159.62,3592.1596
2026-03-16,1.5400,2758.8823,4248678.74,4248.6787
2026-03-17,1.5350,3171.4948,4868244.52,4868.2445
2026-03-18,1.5300,3133.2736,4793908.61,4793.9086
2026-03-19,1.5250,2978.8642,4542767.91,4542.7679
2026-03-20,1.5200,3024.0016,4596482.43,4596.4824
2026-03-21,1.5225,2573.3412,3917911.98,3917.9120
2026-03-22,1.5250,2656.9371,4051829.08,4051.8291
2026-03-23,1.5275,3224.9524,4926114.79,4926.1148
2026-03-24,1.5300,3341.8056,5112962.57,5112.9626
2026-03-25,1.5350,3404.4844,5225883.55,5225.8836
2026-03-26,1.5400,3389.9418,5220510.37,5220.5104
2026-03-27,1.5450,3311.8728,5116843.48,5116.8435
2026-03-28,1.5500,2967.0654,4598951.37,4598.9514
2026-03-29,1.5525,2999.8020,4657192.61,4657.1926
2026-03-30,1.5550,3462.4535,5384115.19,5384.1152
2026-03-31,1.5575,4002.4108,6233754.82,6233.7548
2026-04-01,1.5600,4128.3320,6440197.92,6440.1979
2026-04-02,1.5825,4043.2530,6398447.87,6398.4479
2026-04-03,1.6050,4091.8864,6567477.67,6567.4777
2026-04-04,1.6275,3630.2867,5908291.60,5908.2916
2026-04-05,1.6500,3646.9339,6017440.93,6017.4409
2026-04-06,1.6750,3640.8174,6098369.14,6098.3691
2026-04-07,1.7000,3732.9096,6345946.32,6345.9463
2026-04-08,1.7250,2999.0930,5173435.42,5173.4354
2026-04-09,1.7500,2988.0918,5229160.65,5229.1606
2026-04-10,1.7750,2859.2804,5075222.71,5075.2227
2026-04-11,1.8000,2374.0607,4273309.26,4273.3093
2026-04-12,1.8250,2396.5928,4373781.86,4373.7819
2026-04-13,1.8500,2957.2411,5470896.04,5470.8960
2026-04-14,1.8600,3099.9777,5765958.52,5765.9585
2026-04-15,1.8700,3165.2981,5919107.45,5919.1074
2026-04-16,1.8800,3143.7832,5910312.42,5910.3124
2026-04-17,1.8550,3193.9883,5924848.30,5924.8483
2026-04-18,1.8300,2462.0237,4505503.37,4505.5034
2026-04-19,1.8050,2446.9610,4416764.60,4416.7646
2026-04-20,1.7800,3134.8481,5580029.62,5580.0296
2026-04-21,1.7700,3318.8965,5874446.80,5874.4468
2026-04-22,1.7600,3382.4084,5953038.78,5953.0388
2026-04-23,1.7500,3375.4025,5906954.38,5906.9544
2026-04-24,1.7875,3254.0355,5816588.46,5816.5885
2026-04-25,1.8250,2715.0487,4954963.88,4954.9639
2026-04-26,1.8625,2702.6300,5033648.38,5033.6484
2026-04-27,1.9000,3405.1226,6469732.94,6469.7329
2026-04-28,1.9167,3630.9941,6959405.36,6959.4054
2026-04-29,1.9333,3712.7411,7177966.13,7177.9661
2026-04-30,1.9500,3509.6043,6843728.38,6843.7284
2026-05-01,1.9433,3324.3946,6460406.84,6460.4068
2026-05-02,1.9367,3015.0686,5839182.86,5839.1829
2026-05-03,1.9300,3199.8315,6175674.79,6175.6748
2026-05-04,1.9425,3771.6242,7326380.01,7326.3800
2026-05-05,1.9550,3943.2475,7709048.86,7709.0489
2026-05-06,1.9675,3971.7154,7814350.05,7814.3500
2026-05-07,1.9800,3908.2737,7738381.93,7738.3819
2026-05-08,1.9850,3795.8726,7534807.11,7534.8071
2026-05-09,1.9900,3175.2348,6318717.25,6318.7173
2026-05-10,1.9950,3165.8204,6315811.70,6315.8117
2026-05-11,2.0000,3904.4600,7808920.00,7808.9200
2026-05-12,2.0125,4090.6881,8232509.80,8232.5098
2026-05-13,2.0250,4158.8547,8421680.77,8421.6808
2026-05-14,2.0375,4054.6317,8261312.09,8261.3121
2026-05-15,2.0500,4058.1628,8319233.74,8319.2337
2026-05-16,2.0600,3258.6618,6712843.31,6712.8433
2026-05-17,2.0700,3380.2233,6997062.23,6997.0622
2026-05-18,2.0800,4054.8379,8434062.83,8434.0628
2026-05-19,2.0650,4209.2737,8692150.19,8692.1502
2026-05-20,2.0500,4430.5597,9082647.38,9082.6474
2026-05-21,2.0350,4404.5659,8963291.61,8963.2916
2026-05-22,2.0200,4542.4551,9175759.30,9175.7593
2026-05-23,2.0025,3552.6762,7114234.09,7114.2341
2026-05-24,1.9850,3725.8365,7395785.45,7395.7855
2026-05-25,1.9675,4239.1567,8340540.81,8340.5408
2026-05-26,1.9500,4946.0423,9644782.48,9644.7825
2026-05-27,1.9250,4706.4181,9059854.84,9059.8548
2026-05-28,1.9000,4986.7808,9474883.52,9474.8835
2026-05-29,1.8750,4685.8258,8785923.38,8785.9234
2026-05-30,1.8500,4040.1184,7474219.04,7474.2190
2026-05-31,1.8175,4203.4057,7639689.86,7639.6899
2026-06-01,1.7850,4708.3828,8404463.30,8404.4633
2026-06-02,1.7525,4880.2052,8552559.61,8552.5596
2026-06-03,1.7200,5561.0243,9564961.80,9564.9618
2026-06-04,1.7025,5413.5615,9216588.45,9216.5885
2026-06-05,1.6850,5437.2584,9161780.40,9161.7804
2026-06-06,1.6675,4818.4371,8034743.86,8034.7439
2026-06-07,1.6500,5307.2361,8756939.56,8756.9396
2026-06-08,1.6625,6524.3713,10846767.29,10846.7673
2026-06-09,1.6750,6430.0164,10770277.47,10770.2775
2026-06-10,1.6875,6700.1377,11306482.37,11306.4824
2026-06-11,1.7000,6929.0335,11779356.95,11779.3569
2026-06-12,1.7050,6768.7357,11540694.37,11540.6944
2026-06-13,1.7100,5669.5278,9694892.54,9694.8925
2026-06-14,1.7150,5583.9896,9576542.16,9576.5422
2026-06-15,1.7200,6398.4667,11005362.72,11005.3627
2026-06-16,1.7275,7019.5513,12126274.87,12126.2749
2026-06-17,1.7350,7760.7834,13464959.20,13464.9592
2026-06-18,1.7425,7306.0474,12730787.59,12730.7876
2026-06-19,1.7500,6557.2315,11475155.12,11475.1551
2026-06-20,1.7375,5830.0581,10129725.95,10129.7259
2026-06-21,1.7250,5775.7672,9963198.42,9963.1984
2026-06-22,1.7125,6924.9642,11859001.19,11859.0012
2026-06-23,1.7000,7148.3950,12152271.50,12152.2715
2026-06-24,1.6950,7249.4570,12287829.61,12287.8296
2026-06-25,1.6900,6972.6857,11783838.83,11783.8388
2026-06-26,1.6850,6781.2309,11426374.07,11426.3741
2026-06-27,1.6800,5693.2236,9564615.65,9564.6156
2026-06-28,1.6725,5950.3918,9952030.29,9952.0303
2026-06-29,1.6650,7085.0486,11796605.92,11796.6059
2026-06-30,1.6575,7167.1547,11879558.92,11879.5589
2026-07-01,1.6500,6977.1984,11512377.36,11512.3774
2026-07-02,1.6350,6974.6150,11403495.53,11403.4955
2026-07-03,1.6200,6991.8270,11326759.74,11326.7597
2026-07-04,1.6120,5714.8941,9212409.29,9212.4093
2026-07-05,1.6040,5809.0005,9317636.80,9317.6368
2026-07-06,1.5960,7153.3696,11416777.88,11416.7779
2026-07-07,1.5880,7795.8238,12379768.19,12379.7682
2026-07-08,1.5800,7866.9926,12429848.31,12429.8483
2026-07-09,1.5725,7769.2443,12217136.66,12217.1367
2026-07-10,1.5650,7814.0258,12228950.38,12228.9504
2026-07-11,1.5575,7239.7517,11275913.27,11275.9133
2026-07-12,1.5500,6980.4609,10819714.40,10819.7144
2026-07-13,1.5425,8945.2007,13797972.08,13797.9721
2026-07-14,1.5350,9313.4085,14296082.05,14296.0820
2026-07-15,1.5275,9480.9611,14482168.08,14482.1681
2026-07-16,1.5200,9619.2039,14621189.93,14621.1899
2026-07-17,1.5100,9621.5665,14528565.42,14528.5654
2026-07-18,1.5000,8050.7648,12076147.20,12076.1472
2026-07-19,1.4900,7742.8388,11536829.81,11536.8298
2026-07-20,1.4800,8440.1738,12491457.22,12491.4572
2026-07-21,1.4750,8372.7222,12349765.24,12349.7652
2026-07-22,1.4700,9013.6592,13250079.02,13250.0790
2026-07-23,1.4650,8751.9942,12821671.50,12821.6715
2026-07-24,1.4600,8661.0847,12645183.66,12645.1837
2026-07-25,1.4580,7305.3814,10651246.08,10651.2461
2026-07-26,1.4560,7496.4819,10914877.65,10914.8776
2026-07-27,1.4540,8784.3260,12772410.00,12772.4100
2026-07-28,1.4520,8890.4183,12908887.37,12908.8874
2026-07-29,1.4250,8196.7058,11680442.38,11680.4424
2026-07-30,1.3980,8321.9335,11634340.43,11634.3404
2026-07-31,1.3710,8296.2219,11374535.04,11374.5350
2026-08-01,1.3441,7066.9404,9498439.03,9498.4390
2026-08-02,1.3171,7232.0430,9525203.30,9525.2033
2026-08-03,1.2901,9143.8231,11796446.18,11796.4462
2026-08-04,1.2723,9996.5509,12718611.71,12718.6117
2026-08-05,1.1997,10787.6143,12941900.88,12941.9009
2026-08-06,1.1771,11001.2048,12949518.17,12949.5182
2026-08-07,1.1692,10378.0711,12134040.73,12134.0407
2026-08-08,1.1635,8765.2390,10198355.58,10198.3556
2026-08-09,1.1269,8974.0347,10112839.70,10112.8397
2026-08-10,1.1240,10613.7203,11929821.62,11929.8216
2026-08-11,1.0991,10931.4017,12014703.61,12014.7036
2026-08-12,1.0775,11234.1164,12104760.42,12104.7604
2026-08-13,1.0516,11135.1138,11709685.67,11709.6857
2026-08-14,1.0293,11486.0434,11822584.47,11822.5845
2026-08-15,1.0189,9565.0419,9745821.19,9745.8212
2026-08-16,1.0217,10375.1436,10600284.22,10600.2842
2026-08-17,1.0481,13311.2628,13951534.54,13951.5345
2026-08-18,1.0575,12704.8709,13435400.98,13435.4010
2026-08-19,1.0828,12119.2914,13122768.73,13122.7687
2026-08-20,1.0564,12130.1019,12814239.65,12814.2396
2026-08-21,1.0602,13888.7695,14724873.42,14724.8734
2026-08-22,1.0446,14075.7099,14703486.56,14703.4866
2026-08-23,1.0501,15147.5178,15906408.44,15906.4084
2026-08-24,1.0524,18352.9382,19314632.16,19314.6322
2026-08-25,1.0569,18775.1409,19843446.42,19843.4464
2026-08-26,1.0748,18436.4492,19815495.60,19815.4956
2026-08-27,1.0580,15797.6505,16713914.23,16713.9142
2026-08-28,1.0586,15116.7351,16002575.78,16002.5758
2026-08-29,1.0296,13204.1226,13594964.63,13594.9646
2026-08-30,1.0018,13313.5958,13337560.27,13337.5603
